module	class	campaign	worst_arrival_ps	area_um2	on_frontier
mul24_mac_replay_ctrl_array_ripple_xormaj_default	control	earlier_positional	21520.0	21243	false
mul24_mac_replay_ctrl_wallace_ripple_xormaj_default	control	earlier_positional	18830.0	20915	false
mul24_mac_replay_ctrl_dadda_ripple_xormaj_default	control	earlier_positional	19430.0	19798	false
mul24_mac_replay_ctrl_array_ripple_mux_default	control	earlier_positional	21970.0	20423	false
mul24_mac_replay_ctrl_wallace_ripple_mux_default	control	earlier_positional	16000.0	21377	false
mul24_mac_replay_ctrl_dadda_ripple_mux_default	control	earlier_positional	16680.0	19809	false
mul24_mac_replay_ctrl_array_koggestone_xormaj_default	control	earlier_positional	16800.0	21154	false
mul24_mac_replay_ctrl_wallace_koggestone_xormaj_default	control	earlier_positional	18460.0	23032	false
mul24_mac_replay_ctrl_dadda_koggestone_xormaj_default	control	earlier_positional	11780.0	22318	true
mul24_mac_replay_ctrl_array_koggestone_mux_default	control	earlier_positional	12740.0	20662	true
mul24_mac_replay_ctrl_wallace_koggestone_mux_default	control	earlier_positional	9350.0	22610	true
mul24_mac_replay_ctrl_dadda_koggestone_mux_default	control	earlier_positional	13590.0	21209	false
mul24_mac_replay_ctrl_array_sklansky_xormaj_default	control	earlier_positional	17590.0	20901	false
mul24_mac_replay_ctrl_wallace_sklansky_xormaj_default	control	earlier_positional	17110.0	20996	false
mul24_mac_replay_ctrl_dadda_sklansky_xormaj_default	control	earlier_positional	22020.0	19958	false
mul24_mac_replay_ctrl_array_sklansky_mux_default	control	earlier_positional	17320.0	20293	false
mul24_mac_replay_ctrl_wallace_sklansky_mux_default	control	earlier_positional	13170.0	20571	true
mul24_mac_replay_ctrl_dadda_sklansky_mux_default	control	earlier_positional	17350.0	19654	true
mul24_mac_replay_ctrl_array_brentkung_xormaj_default	control	earlier_positional	22740.0	20784	false
mul24_mac_replay_ctrl_wallace_brentkung_xormaj_default	control	earlier_positional	18630.0	20732	false
mul24_mac_replay_ctrl_dadda_brentkung_xormaj_default	control	earlier_positional	19690.0	19800	false
mul24_mac_replay_ctrl_array_brentkung_mux_default	control	earlier_positional	18300.0	20211	false
mul24_mac_replay_ctrl_wallace_brentkung_mux_default	control	earlier_positional	14450.0	20719	false
mul24_mac_replay_ctrl_dadda_brentkung_mux_default	control	earlier_positional	18360.0	19680	false
mul24_mac_replay_ctrl_array_hancarlson_xormaj_default	control	earlier_positional	16650.0	21303	false
mul24_mac_replay_ctrl_wallace_hancarlson_xormaj_default	control	earlier_positional	17130.0	21282	false
mul24_mac_replay_ctrl_dadda_hancarlson_xormaj_default	control	earlier_positional	15470.0	21070	false
mul24_mac_replay_ctrl_array_hancarlson_mux_default	control	earlier_positional	16580.0	20386	false
mul24_mac_replay_ctrl_wallace_hancarlson_mux_default	control	earlier_positional	18140.0	21531	false
mul24_mac_replay_ctrl_dadda_hancarlson_mux_default	control	earlier_positional	15900.0	20621	false
mul24_mac_replay_candidate_default	candidate	arrival_challenge	15250.0	19884	true
mul24_mac_replay_norules_default	ablation	arrival_challenge	17350.0	19654	true
mul24_mac_arrival_dadda_sklansky_mux_default	arrival_control	arrival_challenge	15490.0	19769	true
mul24_mac_arrival_dadda_sklansky_xormaj_default	arrival_control	arrival_challenge	21760.0	19875	false
mul24_mac_arrival_dadda_brentkung_mux_default	arrival_control	arrival_challenge	19590.0	19659	false
mul24_mac_arrival_dadda_brentkung_xormaj_default	arrival_control	arrival_challenge	20970.0	19811	false
mul24_mac_arrival_dadda_koggestone_mux_default	arrival_control	arrival_challenge	11850.0	21128	true
mul24_mac_arrival_dadda_koggestone_xormaj_default	arrival_control	arrival_challenge	13580.0	21935	false
mul24_mac_arrival_fullnoha_sklansky_mux_default	arrival_control	arrival_challenge	17120.0	19834	false
mul24_mac_arrival_fullnoha_sklansky_xormaj_default	arrival_control	arrival_challenge	21970.0	20153	false
mul24_mac_arrival_fullnoha_brentkung_mux_default	arrival_control	arrival_challenge	17420.0	19611	true
mul24_mac_arrival_fullnoha_brentkung_xormaj_default	arrival_control	arrival_challenge	16580.0	20112	false
mul24_mac_arrival_fullnoha_koggestone_mux_default	arrival_control	arrival_challenge	19200.0	19977	false
mul24_mac_arrival_fullnoha_koggestone_xormaj_default	arrival_control	arrival_challenge	18260.0	20546	false
mac24_reference_default	behavioral	arrival_challenge	20160.0	21338	false
