module	class	action	pick	adder	fa_impl	samples
mul24_mac_arrival_dadda_sklansky_mux	arrival_control	Dadda	Earliest	sklansky	Mux	1000
mul24_mac_arrival_dadda_sklansky_xormaj	arrival_control	Dadda	Earliest	sklansky	XorMaj	1000
mul24_mac_arrival_dadda_brentkung_mux	arrival_control	Dadda	Earliest	brentkung	Mux	1000
mul24_mac_arrival_dadda_brentkung_xormaj	arrival_control	Dadda	Earliest	brentkung	XorMaj	1000
mul24_mac_arrival_dadda_koggestone_mux	arrival_control	Dadda	Earliest	koggestone	Mux	1000
mul24_mac_arrival_dadda_koggestone_xormaj	arrival_control	Dadda	Earliest	koggestone	XorMaj	1000
mul24_mac_arrival_fullnoha_sklansky_mux	arrival_control	FullNoHa	Earliest	sklansky	Mux	1000
mul24_mac_arrival_fullnoha_sklansky_xormaj	arrival_control	FullNoHa	Earliest	sklansky	XorMaj	1000
mul24_mac_arrival_fullnoha_brentkung_mux	arrival_control	FullNoHa	Earliest	brentkung	Mux	1000
mul24_mac_arrival_fullnoha_brentkung_xormaj	arrival_control	FullNoHa	Earliest	brentkung	XorMaj	1000
mul24_mac_arrival_fullnoha_koggestone_mux	arrival_control	FullNoHa	Earliest	koggestone	Mux	1000
mul24_mac_arrival_fullnoha_koggestone_xormaj	arrival_control	FullNoHa	Earliest	koggestone	XorMaj	1000
