module	class	source_sha256	recipe	mapped_sha256	worst_arrival_ps	worst_output	area_um2
mul24_mac_replay_candidate_default	candidate	4fd7f249fff05fd5833a33fdfb627075dab4a7ed9a1e2703b13d4b80561d06b6	default	523f6ea65d7a7403e02bd5c3b786b8e26d6190b2a7cf0f9ed2282a20dab53d50	10140.0	y[57]	19884.07
mul24_mac_replay_candidate_classic	candidate	4fd7f249fff05fd5833a33fdfb627075dab4a7ed9a1e2703b13d4b80561d06b6	classic	93198af00868be09d1252956de0580e5b954417aa9ab0e7f9513550119684ed4	6640.0	y[49]	30415.42
mul24_mac_replay_norules_default	ablation	b9e4bacccc3a0185413aedf51b7c0711e7b0ce9d72c4d22792c777cbb9d599a6	default	fc512886916a0c31fc1ad7e43470a0bb3b60ef727eb47dc5c84b21bdb50cb5e5	11250.0	y[49]	19653.85
mul24_mac_replay_norules_classic	ablation	b9e4bacccc3a0185413aedf51b7c0711e7b0ce9d72c4d22792c777cbb9d599a6	classic	fe79077909c088cf9758777ba2519d481761436bc699174b8d1f63a8d7249642	6220.0	y[49]	31949.39
mul24_mac_arrival_dadda_sklansky_mux_default	arrival_control	23964b3e35f721c851ced542409fbdd7f1fa4f5de69da007900e0741687713ec	default	e06430fb35a2dd0bb2dd4d20fc02b2fa713013e2f8d35174192466bff7befe85	10340.0	y[50]	19768.96
mul24_mac_arrival_dadda_sklansky_mux_classic	arrival_control	23964b3e35f721c851ced542409fbdd7f1fa4f5de69da007900e0741687713ec	classic	181ec6fb72f0833103f7afe448918249c1b370e76f6959af4f38bde11952a34c	6450.0	y[49]	30619.37
mul24_mac_arrival_dadda_sklansky_xormaj_default	arrival_control	1acb8d0749572a7d269a881f64983bb1a93a12bc5989f61c89a817004185fb16	default	48db934a70121228fef36acbd323c80e81790cab05cf28d023a57b70cbd31f59	14920.0	y[55]	19875.31
mul24_mac_arrival_dadda_sklansky_xormaj_classic	arrival_control	1acb8d0749572a7d269a881f64983bb1a93a12bc5989f61c89a817004185fb16	classic	e8d7eb74cd88838ae6284a5875323e108b6cbd19ba18f28aa7070e72bf183d55	5990.0	y[49]	38635.80
mul24_mac_arrival_dadda_brentkung_mux_default	arrival_control	e91167c9c2ad743a9ecb3e91bad67783cc20ded2ca9ec676a72c4817d8874350	default	c1f02ee5c8ca29f49a811695f0b002986d78dadab0e645c6333c9c2d80352a76	12270.0	y[63]	19658.85
mul24_mac_arrival_dadda_brentkung_mux_classic	arrival_control	e91167c9c2ad743a9ecb3e91bad67783cc20ded2ca9ec676a72c4817d8874350	classic	7080002b80870781e26385b857158d0cd5044316e065469e9c80b8711f4c1d7d	5640.0	y[49]	30678.17
