module	worst_arrival_ps	worst_output	area_um2
mac24_reference_classic	7520.0	y[49]	34211.56
mac24_reference_default	15790.0	y[49]	21337.96
mul24_mac_arrival_dadda_brentkung_mux_classic	5640.0	y[49]	30678.17
mul24_mac_arrival_dadda_brentkung_mux_default	12270.0	y[63]	19658.85
mul24_mac_arrival_dadda_brentkung_xormaj_classic	6320.0	y[49]	38042.74
mul24_mac_arrival_dadda_brentkung_xormaj_default	15550.0	y[49]	19811.50
mul24_mac_arrival_dadda_koggestone_mux_classic	6420.0	y[49]	33346.98
mul24_mac_arrival_dadda_koggestone_mux_default	8030.0	y[60]	21127.76
mul24_mac_arrival_dadda_koggestone_xormaj_classic	5810.0	y[49]	42320.59
mul24_mac_arrival_dadda_koggestone_xormaj_default	9660.0	y[49]	21934.79
mul24_mac_arrival_dadda_sklansky_mux_classic	6450.0	y[49]	30619.37
mul24_mac_arrival_dadda_sklansky_mux_default	10340.0	y[50]	19768.96
mul24_mac_arrival_dadda_sklansky_xormaj_classic	5990.0	y[49]	38635.80
mul24_mac_arrival_dadda_sklansky_xormaj_default	14920.0	y[55]	19875.31
mul24_mac_arrival_fullnoha_brentkung_mux_classic	7300.0	y[49]	23867.89
mul24_mac_arrival_fullnoha_brentkung_mux_default	11860.0	y[52]	19611.31
mul24_mac_arrival_fullnoha_brentkung_xormaj_classic	7320.0	y[49]	25575.78
mul24_mac_arrival_fullnoha_brentkung_xormaj_default	12110.0	y[46]	20111.79
mul24_mac_arrival_fullnoha_koggestone_mux_classic	7120.0	y[49]	25131.60
mul24_mac_arrival_fullnoha_koggestone_mux_default	10760.0	y[50]	19976.66
mul24_mac_arrival_fullnoha_koggestone_xormaj_classic	7320.0	y[49]	26531.70
mul24_mac_arrival_fullnoha_koggestone_xormaj_default	12100.0	y[54]	20545.96
mul24_mac_arrival_fullnoha_sklansky_mux_classic	7680.0	y[49]	24168.18
mul24_mac_arrival_fullnoha_sklansky_mux_default	10640.0	y[55]	19834.02
mul24_mac_arrival_fullnoha_sklansky_xormaj_classic	7610.0	y[49]	25762.21
mul24_mac_arrival_fullnoha_sklansky_xormaj_default	15510.0	y[49]	20153.08
mul24_mac_replay_candidate_classic	6640.0	y[49]	30415.42
mul24_mac_replay_candidate_default	10140.0	y[57]	19884.07
mul24_mac_replay_norules_classic	6220.0	y[49]	31949.39
mul24_mac_replay_norules_default	11250.0	y[49]	19653.85
