module	width	recipe	class	source_sha256
mul8_mac_fused_fast_shared_ctrl_array_brentkung_mux_default	8	default	control	be692265b9758aa780050489d15772e34b5f04961a31a4aab974daee9f195028
mul8_mac_fused_fast_shared_ctrl_array_brentkung_mux_classic	8	classic	control	be692265b9758aa780050489d15772e34b5f04961a31a4aab974daee9f195028
mul8_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_default	8	default	control	3c79adbd8543b9a9ee665acc03a157e8fd86838695e030ae0287950e47f7ca8d
mul8_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_classic	8	classic	control	3c79adbd8543b9a9ee665acc03a157e8fd86838695e030ae0287950e47f7ca8d
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_mux_default	8	default	control	36737ba8ebcf088a8c6c7ae99a6effb8e1c38e445d7ea6a4242a92bd21ca4e72
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_mux_classic	8	classic	control	36737ba8ebcf088a8c6c7ae99a6effb8e1c38e445d7ea6a4242a92bd21ca4e72
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_default	8	default	control	4b250276ef23836668a9ac5774c3212724c96581a3cec4e566edc1be022ba4db
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_classic	8	classic	control	4b250276ef23836668a9ac5774c3212724c96581a3cec4e566edc1be022ba4db
mul8_mac_fused_fast_shared_ctrl_array_koggestone_mux_default	8	default	control	9bbb424f0137f43fce0f01c918b56f6b892e6cf03c0e4c28ee1d2f08e2c2bb0c
mul8_mac_fused_fast_shared_ctrl_array_koggestone_mux_classic	8	classic	control	9bbb424f0137f43fce0f01c918b56f6b892e6cf03c0e4c28ee1d2f08e2c2bb0c
mul8_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_default	8	default	control	4f9ac64429304bb4c51ee5ca8eea32c0b3d0475b4e9301c449c6c1f6584726cb
mul8_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_classic	8	classic	control	4f9ac64429304bb4c51ee5ca8eea32c0b3d0475b4e9301c449c6c1f6584726cb
mul8_mac_fused_fast_shared_ctrl_array_ripple_mux_default	8	default	control	32b79e5107760d8720a459f11fa22bb0fef32735a3a40d22636dc4e93225d172
mul8_mac_fused_fast_shared_ctrl_array_ripple_mux_classic	8	classic	control	32b79e5107760d8720a459f11fa22bb0fef32735a3a40d22636dc4e93225d172
mul8_mac_fused_fast_shared_ctrl_array_ripple_xormaj_default	8	default	control	a150fc40f1648c48395e52478afb32f983bcb883809b27409c90945c100dcb6b
mul8_mac_fused_fast_shared_ctrl_array_ripple_xormaj_classic	8	classic	control	a150fc40f1648c48395e52478afb32f983bcb883809b27409c90945c100dcb6b
mul8_mac_fused_fast_shared_ctrl_array_sklansky_mux_default	8	default	control	3d65789d59fe18814cef045c67b1c656d2594d6abde5c90515e8569ec62ba252
mul8_mac_fused_fast_shared_ctrl_array_sklansky_mux_classic	8	classic	control	3d65789d59fe18814cef045c67b1c656d2594d6abde5c90515e8569ec62ba252
mul8_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_default	8	default	control	fe94fb9fa38314ed507a943142912717cff5e9e850c6eceb836e9a2a3f23610c
mul8_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_classic	8	classic	control	fe94fb9fa38314ed507a943142912717cff5e9e850c6eceb836e9a2a3f23610c
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_default	8	default	control	6093e655c18249eedca2ab77001d56141e78bd08b8c72aaa88e74cb18828872d
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_classic	8	classic	control	6093e655c18249eedca2ab77001d56141e78bd08b8c72aaa88e74cb18828872d
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_default	8	default	control	bc0c0f579ee21af8bb9360632b5ee3173d3441f4bfd6b483cea70127c019cbd8
