module	worst_arrival_ps	worst_output	area_um2
mac16_requant_behavioral_classic	5590.0	y[49]	16731.05
mac16_requant_behavioral_default	10280.0	y[50]	9881.98
mac8_requant_behavioral_classic	3570.0	y[17]	4385.46
mac8_requant_behavioral_default	6370.0	y[17]	2632.52
mul16_mac_fused_fast_shared_ctrl_array_brentkung_mux_classic	6270.0	y[33]	12605.84
mul16_mac_fused_fast_shared_ctrl_array_brentkung_mux_default	7930.0	y[38]	9392.76
mul16_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_classic	5900.0	y[33]	13103.82
mul16_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_default	8280.0	y[34]	9576.68
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_mux_classic	6430.0	y[33]	12628.36
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_mux_default	8020.0	y[50]	9382.75
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_classic	6440.0	y[33]	12983.70
mul16_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_default	8960.0	y[34]	9731.83
mul16_mac_fused_fast_shared_ctrl_array_koggestone_mux_classic	5740.0	y[33]	12224.22
mul16_mac_fused_fast_shared_ctrl_array_koggestone_mux_default	8330.0	y[33]	9452.82
mul16_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_classic	5810.0	y[33]	12977.45
mul16_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_default	9430.0	y[33]	9721.82
mul16_mac_fused_fast_shared_ctrl_array_ripple_mux_classic	5980.0	y[33]	12439.43
mul16_mac_fused_fast_shared_ctrl_array_ripple_mux_default	8940.0	y[33]	9380.25
mul16_mac_fused_fast_shared_ctrl_array_ripple_xormaj_classic	6140.0	y[33]	13167.63
mul16_mac_fused_fast_shared_ctrl_array_ripple_xormaj_default	8360.0	y[33]	9562.92
mul16_mac_fused_fast_shared_ctrl_array_sklansky_mux_classic	6210.0	y[33]	12579.56
mul16_mac_fused_fast_shared_ctrl_array_sklansky_mux_default	8000.0	y[50]	9326.44
mul16_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_classic	5980.0	y[33]	13379.08
mul16_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_default	8720.0	y[34]	9480.34
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_classic	4940.0	y[33]	14067.24
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_default	8710.0	y[33]	9024.91
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_classic	5030.0	y[33]	15379.75
mul16_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_default	12000.0	y[43]	9096.22
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_classic	5120.0	y[33]	14345.01
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_default	7410.0	y[34]	9270.14
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_classic	5190.0	y[33]	16435.76
mul16_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_default	6920.0	y[35]	9282.65
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_classic	4380.0	y[33]	15104.49
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_default	7090.0	y[33]	9605.46
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_classic	4600.0	y[34]	16455.78
mul16_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_default	7250.0	y[34]	10048.39
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_mux_classic	4900.0	y[33]	11041.84
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_mux_default	8030.0	y[38]	9237.61
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_classic	6640.0	y[33]	10756.57
mul16_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_default	9910.0	y[33]	9073.70
mul16_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_classic	5540.0	y[33]	14156.08
