module	width	recipe	class	source_sha256	worst_arrival_ps	worst_output	area_um2
mul8_mac_fused_fast_shared_ctrl_array_brentkung_mux_default	8	default	control	be692265b9758aa780050489d15772e34b5f04961a31a4aab974daee9f195028	5570.0	y[17]	2546.19
mul8_mac_fused_fast_shared_ctrl_array_brentkung_mux_classic	8	classic	control	be692265b9758aa780050489d15772e34b5f04961a31a4aab974daee9f195028	3320.0	y[17]	3435.80
mul8_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_default	8	default	control	3c79adbd8543b9a9ee665acc03a157e8fd86838695e030ae0287950e47f7ca8d	4820.0	y[21]	2668.81
mul8_mac_fused_fast_shared_ctrl_array_brentkung_xormaj_classic	8	classic	control	3c79adbd8543b9a9ee665acc03a157e8fd86838695e030ae0287950e47f7ca8d	3420.0	y[17]	3817.41
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_mux_default	8	default	control	36737ba8ebcf088a8c6c7ae99a6effb8e1c38e445d7ea6a4242a92bd21ca4e72	6160.0	y[17]	2612.51
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_mux_classic	8	classic	control	36737ba8ebcf088a8c6c7ae99a6effb8e1c38e445d7ea6a4242a92bd21ca4e72	3360.0	y[17]	3343.21
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_default	8	default	control	4b250276ef23836668a9ac5774c3212724c96581a3cec4e566edc1be022ba4db	4980.0	y[22]	2731.37
mul8_mac_fused_fast_shared_ctrl_array_hancarlson_xormaj_classic	8	classic	control	4b250276ef23836668a9ac5774c3212724c96581a3cec4e566edc1be022ba4db	3260.0	y[17]	3889.98
mul8_mac_fused_fast_shared_ctrl_array_koggestone_mux_default	8	default	control	9bbb424f0137f43fce0f01c918b56f6b892e6cf03c0e4c28ee1d2f08e2c2bb0c	5030.0	y[20]	2631.27
mul8_mac_fused_fast_shared_ctrl_array_koggestone_mux_classic	8	classic	control	9bbb424f0137f43fce0f01c918b56f6b892e6cf03c0e4c28ee1d2f08e2c2bb0c	3250.0	y[17]	3385.75
mul8_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_default	8	default	control	4f9ac64429304bb4c51ee5ca8eea32c0b3d0475b4e9301c449c6c1f6584726cb	5100.0	y[21]	2622.52
mul8_mac_fused_fast_shared_ctrl_array_koggestone_xormaj_classic	8	classic	control	4f9ac64429304bb4c51ee5ca8eea32c0b3d0475b4e9301c449c6c1f6584726cb	3290.0	y[17]	3797.39
mul8_mac_fused_fast_shared_ctrl_array_ripple_mux_default	8	default	control	32b79e5107760d8720a459f11fa22bb0fef32735a3a40d22636dc4e93225d172	5310.0	y[26]	2581.23
mul8_mac_fused_fast_shared_ctrl_array_ripple_mux_classic	8	classic	control	32b79e5107760d8720a459f11fa22bb0fef32735a3a40d22636dc4e93225d172	3270.0	y[17]	3346.96
mul8_mac_fused_fast_shared_ctrl_array_ripple_xormaj_default	8	default	control	a150fc40f1648c48395e52478afb32f983bcb883809b27409c90945c100dcb6b	5260.0	y[20]	2568.71
mul8_mac_fused_fast_shared_ctrl_array_ripple_xormaj_classic	8	classic	control	a150fc40f1648c48395e52478afb32f983bcb883809b27409c90945c100dcb6b	3390.0	y[17]	3724.82
mul8_mac_fused_fast_shared_ctrl_array_sklansky_mux_default	8	default	control	3d65789d59fe18814cef045c67b1c656d2594d6abde5c90515e8569ec62ba252	4980.0	y[17]	2685.08
mul8_mac_fused_fast_shared_ctrl_array_sklansky_mux_classic	8	classic	control	3d65789d59fe18814cef045c67b1c656d2594d6abde5c90515e8569ec62ba252	3270.0	y[17]	3462.07
mul8_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_default	8	default	control	fe94fb9fa38314ed507a943142912717cff5e9e850c6eceb836e9a2a3f23610c	5750.0	y[18]	2522.42
mul8_mac_fused_fast_shared_ctrl_array_sklansky_xormaj_classic	8	classic	control	fe94fb9fa38314ed507a943142912717cff5e9e850c6eceb836e9a2a3f23610c	3380.0	y[17]	3706.05
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_default	8	default	control	6093e655c18249eedca2ab77001d56141e78bd08b8c72aaa88e74cb18828872d	4320.0	y[21]	2437.34
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_mux_classic	8	classic	control	6093e655c18249eedca2ab77001d56141e78bd08b8c72aaa88e74cb18828872d	3090.0	y[17]	3789.88
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_default	8	default	control	bc0c0f579ee21af8bb9360632b5ee3173d3441f4bfd6b483cea70127c019cbd8	5200.0	y[17]	2461.11
mul8_mac_fused_fast_shared_ctrl_dadda_brentkung_xormaj_classic	8	classic	control	bc0c0f579ee21af8bb9360632b5ee3173d3441f4bfd6b483cea70127c019cbd8	3080.0	y[17]	4046.38
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_default	8	default	control	90f5d7280f3e6a483f16dd2dcd160123c5dea5dd76dfc7b271e6d0b17aa2643f	4880.0	y[17]	2413.56
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_mux_classic	8	classic	control	90f5d7280f3e6a483f16dd2dcd160123c5dea5dd76dfc7b271e6d0b17aa2643f	3450.0	y[17]	3824.92
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_default	8	default	control	fe9276be672e7c1c449934451301c6133c054722057629add1c5ae856ee99e4a	5570.0	y[20]	2446.10
mul8_mac_fused_fast_shared_ctrl_dadda_hancarlson_xormaj_classic	8	classic	control	fe9276be672e7c1c449934451301c6133c054722057629add1c5ae856ee99e4a	3010.0	y[17]	4230.31
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_default	8	default	control	411817b57ba34723bfc8e576361f5b691a5a8fd9155c5af49df37908be3c315d	4560.0	y[17]	2532.43
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_mux_classic	8	classic	control	411817b57ba34723bfc8e576361f5b691a5a8fd9155c5af49df37908be3c315d	3040.0	y[24]	4086.42
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_default	8	default	control	0bd2890b108ea1dd391b835d5d891a9977971ce8d6a1d37707be05f426d24ace	4670.0	y[23]	2566.21
mul8_mac_fused_fast_shared_ctrl_dadda_koggestone_xormaj_classic	8	classic	control	0bd2890b108ea1dd391b835d5d891a9977971ce8d6a1d37707be05f426d24ace	2770.0	y[17]	4449.27
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_mux_default	8	default	control	3816d7091e7c8bd3e6246d95d9b654f7335a3463f381b63144a9924609c028cc	4120.0	y[20]	2583.73
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_mux_classic	8	classic	control	3816d7091e7c8bd3e6246d95d9b654f7335a3463f381b63144a9924609c028cc	2950.0	y[17]	3241.86
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_default	8	default	control	ae6f688bd0d5eeac4da26542d62d5f7b00a34691f66a3bdfeb52adf83e403b4a	5760.0	y[17]	2488.64
mul8_mac_fused_fast_shared_ctrl_dadda_ripple_xormaj_classic	8	classic	control	ae6f688bd0d5eeac4da26542d62d5f7b00a34691f66a3bdfeb52adf83e403b4a	3470.0	y[17]	3405.77
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_default	8	default	control	e6a306eaa76f618f1d09c4fd1deebe499dc4bb99525e2eac85179f493fa6e627	4640.0	y[17]	2421.07
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_mux_classic	8	classic	control	e6a306eaa76f618f1d09c4fd1deebe499dc4bb99525e2eac85179f493fa6e627	3440.0	y[17]	4013.85
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_default	8	default	control	d09911869f603e18187a3123980c9ae9d59b2039045740731fe77f6e5782714e	5320.0	y[17]	2458.61
mul8_mac_fused_fast_shared_ctrl_dadda_sklansky_xormaj_classic	8	classic	control	d09911869f603e18187a3123980c9ae9d59b2039045740731fe77f6e5782714e	3250.0	y[17]	4314.14
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_default	8	default	control	e4d3fa78857cab102dc5cdd908bdcdf8c8ae0cb386902858788256c1b590afe4	4760.0	y[17]	2662.55
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_mux_classic	8	classic	control	e4d3fa78857cab102dc5cdd908bdcdf8c8ae0cb386902858788256c1b590afe4	3280.0	y[17]	3513.37
mul8_mac_fused_fast_shared_ctrl_wallace_brentkung_xormaj_default	8	default	control	8ee91389addcd580b4707f6e5e0f7d1edfb9f75d42a323f4006ec33ebfcc9297	4510.0	y[17]	2553.70
