module	width	class	samples	seed
mul12_mac_replay_candidate	12	candidate	200000	1752132712
mul12_mac_replay_norules	12	ablation	200000	1752132712
mul12_mac_replay_ctrl_array_ripple_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_ripple_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_ripple_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_ripple_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_ripple_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_ripple_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_koggestone_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_koggestone_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_koggestone_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_koggestone_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_koggestone_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_koggestone_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_sklansky_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_sklansky_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_sklansky_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_sklansky_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_sklansky_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_sklansky_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_brentkung_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_brentkung_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_brentkung_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_brentkung_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_brentkung_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_brentkung_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_hancarlson_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_hancarlson_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_hancarlson_xormaj	12	control	1000	1752132712
mul12_mac_replay_ctrl_array_hancarlson_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_wallace_hancarlson_mux	12	control	1000	1752132712
mul12_mac_replay_ctrl_dadda_hancarlson_mux	12	control	1000	1752132712
mul24_mac_replay_candidate	24	candidate	200000	1752132732
mul24_mac_replay_norules	24	ablation	200000	1752132732
mul24_mac_replay_ctrl_array_ripple_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_ripple_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_ripple_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_ripple_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_ripple_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_ripple_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_koggestone_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_koggestone_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_koggestone_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_koggestone_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_koggestone_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_koggestone_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_sklansky_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_sklansky_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_sklansky_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_sklansky_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_sklansky_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_sklansky_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_brentkung_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_brentkung_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_brentkung_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_brentkung_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_brentkung_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_brentkung_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_hancarlson_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_hancarlson_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_hancarlson_xormaj	24	control	1000	1752132732
mul24_mac_replay_ctrl_array_hancarlson_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_wallace_hancarlson_mux	24	control	1000	1752132732
mul24_mac_replay_ctrl_dadda_hancarlson_mux	24	control	1000	1752132732
