utilization	module	class	status	worst_arrival_ps	area_um2	hpwl_um	error
45	mul24_mac_replay_candidate_default	candidate	ok	15250.0	19884	57774.6	
45	mul24_mac_replay_norules_default	ablation	ok	17350.0	19654	57617.2	
45	mul24_mac_replay_ctrl_array_ripple_xormaj_default	control	ok	21520.0	21243	63356.4	
45	mul24_mac_replay_ctrl_wallace_ripple_xormaj_default	control	ok	18830.0	20915	61627.7	
45	mul24_mac_replay_ctrl_dadda_ripple_xormaj_default	control	ok	19430.0	19798	60082.7	
45	mul24_mac_replay_ctrl_array_ripple_mux_default	control	ok	21970.0	20423	59314.0	
45	mul24_mac_replay_ctrl_wallace_ripple_mux_default	control	ok	16000.0	21377	59500.7	
45	mul24_mac_replay_ctrl_dadda_ripple_mux_default	control	ok	16680.0	19809	58209.2	
45	mul24_mac_replay_ctrl_array_koggestone_xormaj_default	control	ok	16800.0	21154	62718.5	
45	mul24_mac_replay_ctrl_wallace_koggestone_xormaj_default	control	ok	18460.0	23032	65224.8	
45	mul24_mac_replay_ctrl_dadda_koggestone_xormaj_default	control	ok	11780.0	22318	64299.2	
45	mul24_mac_replay_ctrl_array_koggestone_mux_default	control	ok	12740.0	20662	59270.3	
45	mul24_mac_replay_ctrl_wallace_koggestone_mux_default	control	ok	9350.0	22610	59058.4	
45	mul24_mac_replay_ctrl_dadda_koggestone_mux_default	control	ok	13590.0	21209	59777.1	
45	mul24_mac_replay_ctrl_array_sklansky_xormaj_default	control	failed				Command '['docker', 'run', '--name', 'mac-heldout-45-mul24-mac-replay-ctrl-array-sklansky-xormaj-default', '--platform', 'linux/amd64', '--rm', '-v', '/Users/andrewhendel/CascadeProjects/tinytapeout2:/work', '-w', '/work', '-e', 'NETLIST=results/discovery/mac_crosswidth_20260905/evo608_heldout/physical/mapped/mul24_mac_replay_ctrl_array_sklansky_xormaj_default.v', '-e', 'TOP=mul24_mac_replay_ctrl_array_sklansky_xormaj_default', '-e', 'OUT=results/discovery/mac_crosswidth_20260905/evo608_heldout/physical/route24_default/util45/mul24_mac_replay_ctrl_array_sklansky_xormaj_default', '-e', 'UTILIZATION=45', 'openroad/orfs:latest', '/OpenROAD-flow-scripts/tools/install/OpenROAD/bin/openroad', '-exit', 'scripts/place_core.tcl']' returned non-zero exit status 125.
45	mul24_mac_replay_ctrl_wallace_sklansky_xormaj_default	control	failed				Command '['docker', 'run', '--name', 'mac-heldout-45-mul24-mac-replay-ctrl-wallace-sklansky-xormaj-default', '--platform', 'linux/amd64', '--rm', '-v', '/Users/andrewhendel/CascadeProjects/tinytapeout2:/work', '-w', '/work', '-e', 'NETLIST=results/discovery/mac_crosswidth_20260905/evo608_heldout/physical/mapped/mul24_mac_replay_ctrl_wallace_sklansky_xormaj_default.v', '-e', 'TOP=mul24_mac_replay_ctrl_wallace_sklansky_xormaj_default', '-e', 'OUT=results/discovery/mac_crosswidth_20260905/evo608_heldout/physical/route24_default/util45/mul24_mac_replay_ctrl_wallace_sklansky_xormaj_default', '-e', 'UTILIZATION=45', 'openroad/orfs:latest', '/OpenROAD-flow-scripts/tools/install/OpenROAD/bin/openroad', '-exit', 'scripts/place_core.tcl']' returned non-zero exit status 125.
