utilization	module	class	status	worst_arrival_ps	area_um2	hpwl_um	error
45	mul24_mac_replay_candidate_default	candidate	ok	15250.0	19884	57774.6	
45	mul24_mac_replay_norules_default	ablation	ok	17350.0	19654	57617.2	
45	mul24_mac_replay_ctrl_array_ripple_xormaj_default	control	ok	21520.0	21243	63356.4	
45	mul24_mac_replay_ctrl_wallace_ripple_xormaj_default	control	ok	18830.0	20915	61627.7	
45	mul24_mac_replay_ctrl_dadda_ripple_xormaj_default	control	ok	19430.0	19798	60082.7	
45	mul24_mac_replay_ctrl_array_ripple_mux_default	control	ok	21970.0	20423	59314.0	
45	mul24_mac_replay_ctrl_wallace_ripple_mux_default	control	ok	16000.0	21377	59500.7	
45	mul24_mac_replay_ctrl_dadda_ripple_mux_default	control	ok	16680.0	19809	58209.2	
45	mul24_mac_replay_ctrl_array_koggestone_xormaj_default	control	ok	16800.0	21154	62718.5	
45	mul24_mac_replay_ctrl_wallace_koggestone_xormaj_default	control	ok	18460.0	23032	65224.8	
45	mul24_mac_replay_ctrl_dadda_koggestone_xormaj_default	control	ok	11780.0	22318	64299.2	
45	mul24_mac_replay_ctrl_array_koggestone_mux_default	control	ok	12740.0	20662	59270.3	
45	mul24_mac_replay_ctrl_wallace_koggestone_mux_default	control	ok	9350.0	22610	59058.4	
45	mul24_mac_replay_ctrl_dadda_koggestone_mux_default	control	ok	13590.0	21209	59777.1	
45	mul24_mac_replay_ctrl_array_sklansky_xormaj_default	control	ok	17590.0	20901	62442.0	
45	mul24_mac_replay_ctrl_wallace_sklansky_xormaj_default	control	ok	17110.0	20996	62163.3	
45	mul24_mac_replay_ctrl_dadda_sklansky_xormaj_default	control	ok	22020.0	19958	60630.3	
45	mul24_mac_replay_ctrl_array_sklansky_mux_default	control	ok	17320.0	20293	58153.9	
45	mul24_mac_replay_ctrl_wallace_sklansky_mux_default	control	ok	13170.0	20571	57644.3	
45	mul24_mac_replay_ctrl_dadda_sklansky_mux_default	control	ok	17350.0	19654	57617.2	
45	mul24_mac_replay_ctrl_array_brentkung_xormaj_default	control	ok	22740.0	20784	61492.7	
45	mul24_mac_replay_ctrl_wallace_brentkung_xormaj_default	control	ok	18630.0	20732	61015.9	
45	mul24_mac_replay_ctrl_dadda_brentkung_xormaj_default	control	ok	19690.0	19800	60223.7	
45	mul24_mac_replay_ctrl_array_brentkung_mux_default	control	ok	18300.0	20211	58839.7	
45	mul24_mac_replay_ctrl_wallace_brentkung_mux_default	control	ok	14450.0	20719	58442.8	
45	mul24_mac_replay_ctrl_dadda_brentkung_mux_default	control	ok	18360.0	19680	57197.8	
45	mul24_mac_replay_ctrl_array_hancarlson_xormaj_default	control	ok	16650.0	21303	64791.5	
45	mul24_mac_replay_ctrl_wallace_hancarlson_xormaj_default	control	ok	17130.0	21282	60709.7	
45	mul24_mac_replay_ctrl_dadda_hancarlson_xormaj_default	control	ok	15470.0	21070	62166.2	
45	mul24_mac_replay_ctrl_array_hancarlson_mux_default	control	ok	16580.0	20386	59330.9	
45	mul24_mac_replay_ctrl_wallace_hancarlson_mux_default	control	ok	18140.0	21531	58195.3	
45	mul24_mac_replay_ctrl_dadda_hancarlson_mux_default	control	ok	15900.0	20621	56711.8	
35	mul24_mac_replay_candidate_default	candidate	ok	14180.0	19884	56812.2	
35	mul24_mac_replay_norules_default	ablation	ok	17060.0	19654	57763.7	
35	mul24_mac_replay_ctrl_wallace_koggestone_mux_default	control	ok	9900.0	22610	60947.9	
35	mul24_mac_replay_ctrl_dadda_ripple_mux_default	control	ok	16020.0	19809	58059.0	
35	mul24_mac_replay_ctrl_array_hancarlson_mux_default	control	ok	13980.0	20386	58926.9	
50	mul24_mac_replay_candidate_default	candidate	ok	16150.0	19884	57928.1	
50	mul24_mac_replay_norules_default	ablation	ok	17110.0	19654	57575.4	
50	mul24_mac_replay_ctrl_wallace_koggestone_mux_default	control	ok	10210.0	22610	60601.2	
50	mul24_mac_replay_ctrl_dadda_ripple_mux_default	control	ok	16760.0	19809	57951.7	
50	mul24_mac_replay_ctrl_array_hancarlson_mux_default	control	ok	15990.0	20386	58580.2	
