module	worst_arrival_ps	worst_output	area_um2
mul12_mac_replay_candidate_classic	4430.0	y[25]	8179.09
mul12_mac_replay_candidate_default	6330.0	y[26]	5243.78
mul12_mac_replay_ctrl_array_brentkung_mux_classic	4630.0	y[25]	8196.61
mul12_mac_replay_ctrl_array_brentkung_mux_default	6470.0	y[25]	5452.73
mul12_mac_replay_ctrl_array_brentkung_xormaj_classic	4780.0	y[25]	8584.48
mul12_mac_replay_ctrl_array_brentkung_xormaj_default	8720.0	y[25]	5584.11
mul12_mac_replay_ctrl_array_hancarlson_mux_classic	4630.0	y[25]	8132.80
mul12_mac_replay_ctrl_array_hancarlson_mux_default	6720.0	y[29]	5562.84
mul12_mac_replay_ctrl_array_hancarlson_xormaj_classic	4620.0	y[25]	9074.95
mul12_mac_replay_ctrl_array_hancarlson_xormaj_default	7060.0	y[38]	5727.99
mul12_mac_replay_ctrl_array_koggestone_mux_classic	4320.0	y[25]	8071.49
mul12_mac_replay_ctrl_array_koggestone_mux_default	7080.0	y[26]	5685.45
mul12_mac_replay_ctrl_array_koggestone_xormaj_classic	4610.0	y[25]	8924.81
mul12_mac_replay_ctrl_array_koggestone_xormaj_default	7060.0	y[28]	5876.89
mul12_mac_replay_ctrl_array_ripple_mux_classic	4690.0	y[25]	6862.83
mul12_mac_replay_ctrl_array_ripple_mux_default	6230.0	y[25]	5406.44
mul12_mac_replay_ctrl_array_ripple_xormaj_classic	5120.0	y[25]	7702.39
mul12_mac_replay_ctrl_array_ripple_xormaj_default	6520.0	y[25]	5506.53
mul12_mac_replay_ctrl_array_sklansky_mux_classic	4620.0	y[38]	8321.73
mul12_mac_replay_ctrl_array_sklansky_mux_default	6290.0	y[25]	5540.31
mul12_mac_replay_ctrl_array_sklansky_xormaj_classic	4710.0	y[25]	9140.02
mul12_mac_replay_ctrl_array_sklansky_xormaj_default	7790.0	y[27]	5545.32
mul12_mac_replay_ctrl_dadda_brentkung_mux_classic	3990.0	y[25]	7910.09
mul12_mac_replay_ctrl_dadda_brentkung_mux_default	6310.0	y[26]	5215.00
mul12_mac_replay_ctrl_dadda_brentkung_xormaj_classic	4070.0	y[25]	8829.72
mul12_mac_replay_ctrl_dadda_brentkung_xormaj_default	8370.0	y[26]	5139.93
mul12_mac_replay_ctrl_dadda_hancarlson_mux_classic	3910.0	y[25]	8316.73
mul12_mac_replay_ctrl_dadda_hancarlson_mux_default	6630.0	y[27]	5443.97
mul12_mac_replay_ctrl_dadda_hancarlson_xormaj_classic	3490.0	y[25]	9609.22
mul12_mac_replay_ctrl_dadda_hancarlson_xormaj_default	6360.0	y[29]	5436.46
mul12_mac_replay_ctrl_dadda_koggestone_mux_classic	3620.0	y[25]	8777.17
mul12_mac_replay_ctrl_dadda_koggestone_mux_default	5850.0	y[27]	5635.40
mul12_mac_replay_ctrl_dadda_koggestone_xormaj_classic	4000.0	y[25]	9952.04
mul12_mac_replay_ctrl_dadda_koggestone_xormaj_default	6540.0	y[25]	5727.99
mul12_mac_replay_ctrl_dadda_ripple_mux_classic	4070.0	y[25]	6635.11
mul12_mac_replay_ctrl_dadda_ripple_mux_default	6420.0	y[25]	5297.58
mul12_mac_replay_ctrl_dadda_ripple_xormaj_classic	5360.0	y[25]	7022.99
