module	width	class	samples	seed	recipe	source_sha256	worst_arrival_ps	worst_output	area_um2
mul12_mac_replay_candidate_default	12	candidate	200000	1752132712	default	16617cfd52a0d5728d4e04c387085f59c187fd797a5cb88228291dcca51c1383	6330.0	y[26]	5243.78
mul12_mac_replay_candidate_classic	12	candidate	200000	1752132712	classic	16617cfd52a0d5728d4e04c387085f59c187fd797a5cb88228291dcca51c1383	4430.0	y[25]	8179.09
mul12_mac_replay_norules_default	12	ablation	200000	1752132712	default	6f60a995c1e0967bbab7333d78de0ae9fc6ce4d6b2f6707d2e78d4efbfbe98ba	7050.0	y[25]	5221.26
mul12_mac_replay_norules_classic	12	ablation	200000	1752132712	classic	6f60a995c1e0967bbab7333d78de0ae9fc6ce4d6b2f6707d2e78d4efbfbe98ba	4470.0	y[25]	8249.16
mul12_mac_replay_ctrl_array_ripple_xormaj_default	12	control	1000	1752132712	default	f304dfa44a031ca326c347f46b540ba2268fd35851ae54f5d78ebb2cc403692a	6520.0	y[25]	5506.53
mul12_mac_replay_ctrl_array_ripple_xormaj_classic	12	control	1000	1752132712	classic	f304dfa44a031ca326c347f46b540ba2268fd35851ae54f5d78ebb2cc403692a	5120.0	y[25]	7702.39
mul12_mac_replay_ctrl_wallace_ripple_xormaj_default	12	control	1000	1752132712	default	c5a5a08b9bce5fd2ccb40ec7f371f55cfe45e0a9b41bf2003630ff9b83ed6ab1	6950.0	y[25]	5758.02
mul12_mac_replay_ctrl_wallace_ripple_xormaj_classic	12	control	1000	1752132712	classic	c5a5a08b9bce5fd2ccb40ec7f371f55cfe45e0a9b41bf2003630ff9b83ed6ab1	4650.0	y[25]	7930.11
mul12_mac_replay_ctrl_dadda_ripple_xormaj_default	12	control	1000	1752132712	default	7a4a70767279b11970c5daf3b6fef19fc75ae9ec7b6c383ea2f5af839ed38344	9570.0	y[26]	5316.35
mul12_mac_replay_ctrl_dadda_ripple_xormaj_classic	12	control	1000	1752132712	classic	7a4a70767279b11970c5daf3b6fef19fc75ae9ec7b6c383ea2f5af839ed38344	5360.0	y[25]	7022.99
mul12_mac_replay_ctrl_array_ripple_mux_default	12	control	1000	1752132712	default	2723fd9a716861939eceb0ce105a4e12324c24fb2c95f70fd08e6213fbf92957	6230.0	y[25]	5406.44
mul12_mac_replay_ctrl_array_ripple_mux_classic	12	control	1000	1752132712	classic	2723fd9a716861939eceb0ce105a4e12324c24fb2c95f70fd08e6213fbf92957	4690.0	y[25]	6862.83
mul12_mac_replay_ctrl_wallace_ripple_mux_default	12	control	1000	1752132712	default	49be7ce9f4d056b198125a34e7ae48d9579828d2c3c7a8d71d921977a4437ae1	5420.0	y[27]	5716.73
mul12_mac_replay_ctrl_wallace_ripple_mux_classic	12	control	1000	1752132712	classic	49be7ce9f4d056b198125a34e7ae48d9579828d2c3c7a8d71d921977a4437ae1	4150.0	y[25]	7463.41
mul12_mac_replay_ctrl_dadda_ripple_mux_default	12	control	1000	1752132712	default	ceb0c019a1ab5c4a5b9194cd04a84d16fe3465b19c71ad4a96d9fb5a9734127a	6420.0	y[25]	5297.58
mul12_mac_replay_ctrl_dadda_ripple_mux_classic	12	control	1000	1752132712	classic	ceb0c019a1ab5c4a5b9194cd04a84d16fe3465b19c71ad4a96d9fb5a9734127a	4070.0	y[25]	6635.11
mul12_mac_replay_ctrl_array_koggestone_xormaj_default	12	control	1000	1752132712	default	827808ebe17b2ea681f97b8050f2d97ef138206d955d3862281bbc84a501414c	7060.0	y[28]	5876.89
mul12_mac_replay_ctrl_array_koggestone_xormaj_classic	12	control	1000	1752132712	classic	827808ebe17b2ea681f97b8050f2d97ef138206d955d3862281bbc84a501414c	4610.0	y[25]	8924.81
mul12_mac_replay_ctrl_wallace_koggestone_xormaj_default	12	control	1000	1752132712	default	ef926842e82c303152beab2cbd07c74c55353d75c910aa812679f3c44e1558e1	5290.0	y[28]	6140.89
mul12_mac_replay_ctrl_wallace_koggestone_xormaj_classic	12	control	1000	1752132712	classic	ef926842e82c303152beab2cbd07c74c55353d75c910aa812679f3c44e1558e1	4330.0	y[25]	10307.39
mul12_mac_replay_ctrl_dadda_koggestone_xormaj_default	12	control	1000	1752132712	default	18e0ffdea69f2775a68565a9c1bdde8f35635e49fe50dbd5194deeaf2c15ae84	6540.0	y[25]	5727.99
mul12_mac_replay_ctrl_dadda_koggestone_xormaj_classic	12	control	1000	1752132712	classic	18e0ffdea69f2775a68565a9c1bdde8f35635e49fe50dbd5194deeaf2c15ae84	4000.0	y[25]	9952.04
mul12_mac_replay_ctrl_array_koggestone_mux_default	12	control	1000	1752132712	default	605fad2eee6e40f2689ec3c58612e3a814933c44c5cc17297d6a88332ab61ed8	7080.0	y[26]	5685.45
mul12_mac_replay_ctrl_array_koggestone_mux_classic	12	control	1000	1752132712	classic	605fad2eee6e40f2689ec3c58612e3a814933c44c5cc17297d6a88332ab61ed8	4320.0	y[25]	8071.49
mul12_mac_replay_ctrl_wallace_koggestone_mux_default	12	control	1000	1752132712	default	3ca892d3827240950e18fffc9a29fb3e90d1004b10ef592f24cd3abbfb8545f5	5030.0	y[38]	5931.94
mul12_mac_replay_ctrl_wallace_koggestone_mux_classic	12	control	1000	1752132712	classic	3ca892d3827240950e18fffc9a29fb3e90d1004b10ef592f24cd3abbfb8545f5	4000.0	y[25]	8598.25
mul12_mac_replay_ctrl_dadda_koggestone_mux_default	12	control	1000	1752132712	default	dfa3388179b1a42d1497bb871ff1dba6cd872d09376458831e791902b9c9f400	5850.0	y[27]	5635.40
mul12_mac_replay_ctrl_dadda_koggestone_mux_classic	12	control	1000	1752132712	classic	dfa3388179b1a42d1497bb871ff1dba6cd872d09376458831e791902b9c9f400	3620.0	y[25]	8777.17
mul12_mac_replay_ctrl_array_sklansky_xormaj_default	12	control	1000	1752132712	default	efcd262bc3ce3005ad90f08edd92630fc353468d3d04772eece44f55c5b893fb	7790.0	y[27]	5545.32
mul12_mac_replay_ctrl_array_sklansky_xormaj_classic	12	control	1000	1752132712	classic	efcd262bc3ce3005ad90f08edd92630fc353468d3d04772eece44f55c5b893fb	4710.0	y[25]	9140.02
mul12_mac_replay_ctrl_wallace_sklansky_xormaj_default	12	control	1000	1752132712	default	82ab6b0ed467409f13057b2107abd037acec5554c3ae975f761322667dd9e4d9	6790.0	y[25]	5427.71
mul12_mac_replay_ctrl_wallace_sklansky_xormaj_classic	12	control	1000	1752132712	classic	82ab6b0ed467409f13057b2107abd037acec5554c3ae975f761322667dd9e4d9	4410.0	y[25]	9472.84
mul12_mac_replay_ctrl_dadda_sklansky_xormaj_default	12	control	1000	1752132712	default	b73f4c67e40f3de3728a24854345888428dd66347bdec1143beb3eb41d1c65c5	8210.0	y[31]	5245.03
mul12_mac_replay_ctrl_dadda_sklansky_xormaj_classic	12	control	1000	1752132712	classic	b73f4c67e40f3de3728a24854345888428dd66347bdec1143beb3eb41d1c65c5	3870.0	y[25]	9372.74
mul12_mac_replay_ctrl_array_sklansky_mux_default	12	control	1000	1752132712	default	4fdb9fca145014ab45908a0ab09219932b6b4177b08104346f8c26895b6c2f1a	6290.0	y[25]	5540.31
mul12_mac_replay_ctrl_array_sklansky_mux_classic	12	control	1000	1752132712	classic	4fdb9fca145014ab45908a0ab09219932b6b4177b08104346f8c26895b6c2f1a	4620.0	y[38]	8321.73
mul12_mac_replay_ctrl_wallace_sklansky_mux_default	12	control	1000	1752132712	default	f7f5090c48323d2ab570725cb123a32f23ec598f552cd5f562592fc1cc9820c2	6140.0	y[25]	5567.84
mul12_mac_replay_ctrl_wallace_sklansky_mux_classic	12	control	1000	1752132712	classic	f7f5090c48323d2ab570725cb123a32f23ec598f552cd5f562592fc1cc9820c2	4400.0	y[25]	8409.32
mul12_mac_replay_ctrl_dadda_sklansky_mux_default	12	control	1000	1752132712	default	2e7212d73f074ec2af28635075d6775c00ec13d1caed3bdcc5732797e8d52695	7050.0	y[25]	5221.26
mul12_mac_replay_ctrl_dadda_sklansky_mux_classic	12	control	1000	1752132712	classic	2e7212d73f074ec2af28635075d6775c00ec13d1caed3bdcc5732797e8d52695	4470.0	y[25]	8249.16
mul12_mac_replay_ctrl_array_brentkung_xormaj_default	12	control	1000	1752132712	default	4958d25bd0222bb9386d5f086d2538ced035cfb54c6e1cf37dbe8c8e08fac474	8720.0	y[25]	5584.11
mul12_mac_replay_ctrl_array_brentkung_xormaj_classic	12	control	1000	1752132712	classic	4958d25bd0222bb9386d5f086d2538ced035cfb54c6e1cf37dbe8c8e08fac474	4780.0	y[25]	8584.48
mul12_mac_replay_ctrl_wallace_brentkung_xormaj_default	12	control	1000	1752132712	default	d2702f6a117d8d0c35c138063cbe387003a0bb0bc073b70138696c4b9fd6d810	7000.0	y[27]	5502.78
mul12_mac_replay_ctrl_wallace_brentkung_xormaj_classic	12	control	1000	1752132712	classic	d2702f6a117d8d0c35c138063cbe387003a0bb0bc073b70138696c4b9fd6d810	4810.0	y[25]	9804.40
mul12_mac_replay_ctrl_dadda_brentkung_xormaj_default	12	control	1000	1752132712	default	65fa4561a0ce83e1510dd868bc391704e5aa671faba4caf67685ad7babbdc7f4	8370.0	y[26]	5139.93
mul12_mac_replay_ctrl_dadda_brentkung_xormaj_classic	12	control	1000	1752132712	classic	65fa4561a0ce83e1510dd868bc391704e5aa671faba4caf67685ad7babbdc7f4	4070.0	y[25]	8829.72
