module	width	recipe	area_um2
mul8_mac_requant_evo608	8	default	2462.361600
mul8_mac_requant_evo608	8	classic	3886.227200
mul8_mac_requant_evo608	8	resyn	3500.857600
mul8_mac_requant_evo608	8	area	2528.675200
mul8_mac_requant_evo608_norules	8	default	2421.072000
mul8_mac_requant_evo608_norules	8	classic	4013.849600
mul8_mac_requant_evo608_norules	8	resyn	3829.923200
mul8_mac_requant_evo608_norules	8	area	2524.921600
mul16_mac_requant_evo608	16	default	9123.750400
mul16_mac_requant_evo608	16	classic	14417.577600
mul16_mac_requant_evo608	16	resyn	13472.921600
mul16_mac_requant_evo608	16	area	9546.656000
mul16_mac_requant_evo608_norules	16	default	9285.155200
mul16_mac_requant_evo608_norules	16	classic	14156.076800
mul16_mac_requant_evo608_norules	16	resyn	13788.224000
mul16_mac_requant_evo608_norules	16	area	9537.897600
