module	width	recipe	area_um2
mul8_mac_requant_evo477	8	default	2414.816000
mul8_mac_requant_evo477	8	classic	3771.116800
mul8_mac_requant_evo477	8	resyn	3844.937600
mul8_mac_requant_evo477	8	area	2537.433600
mul16_mac_requant_evo477	16	default	8978.611200
mul16_mac_requant_evo477	16	classic	13800.736000
mul16_mac_requant_evo477	16	resyn	13006.224000
mul16_mac_requant_evo477	16	area	9348.966400
mul8_mac_requant_evo477_norules	8	default	2408.560000
mul8_mac_requant_evo477_norules	8	classic	3838.681600
mul8_mac_requant_evo477_norules	8	resyn	3802.396800
mul8_mac_requant_evo477_norules	8	area	2521.168000
mul16_mac_requant_evo477_norules	16	default	8967.350400
mul16_mac_requant_evo477_norules	16	classic	14103.526400
mul16_mac_requant_evo477_norules	16	resyn	12848.572800
mul16_mac_requant_evo477_norules	16	area	9342.710400
