module	recipe	class	source_sha256	mapped_sha256	worst_arrival_ps	worst_output	area_um2	hpwl_um
mul24_mac_ufomac_brentkung_mux_default	default	ufomac_bounded	796a1b57d04a100a353f8d6bffd917ea4b48a0c83be005812fa3d259f4e3a227	b2958272d99c402ae6610632935c047a1996e05a60d6ea08188bae017fbe5078	14010.0	y[69]	19843	59122.7
mul24_mac_ufomac_brentkung_mux_classic	classic	ufomac_bounded	796a1b57d04a100a353f8d6bffd917ea4b48a0c83be005812fa3d259f4e3a227	afba03f70d45aa64782605486d7e460da1a4ee7a4f54bebc876780e9904e6454	10850.0	y[62]	30502	114552.2
mul24_mac_ufomac_brentkung_xormaj_default	default	ufomac_bounded	25aa31d47876f2bfb313e252b201d2691a7a7de0beb162ef3904c8d0903af9e0	65587e731aaab8eeee76e2f1a9c73ff4090d0f30a69166f05b0e9caa03eea806	15900.0	y[72]	19974	62023.5
mul24_mac_ufomac_brentkung_xormaj_classic	classic	ufomac_bounded	25aa31d47876f2bfb313e252b201d2691a7a7de0beb162ef3904c8d0903af9e0	0702d12b3bc18652522c2aab84d722cc5b7763c735b685a828457f6283f60a59	10270.0	y[57]	32838	125004.6
mul24_mac_ufomac_koggestone_mux_default	default	ufomac_bounded	0bedd78470367a27045d3961de18de5898ec6b38e23d2b95fdd81ed04e2c44cb	12f4a63eed419d28ca2a88e5658b30eac9731e0cd103be4de040deb1f20e50a8	12580.0	y[72]	21893	61758.2
mul24_mac_ufomac_koggestone_mux_classic	classic	ufomac_bounded	0bedd78470367a27045d3961de18de5898ec6b38e23d2b95fdd81ed04e2c44cb	8585b5865aded7325a2a505ef517671142195906131b6a5351f010b62a0023e2	9750.0	y[66]	33737	133598.0
mul24_mac_ufomac_koggestone_xormaj_default	default	ufomac_bounded	15db0cce28e7a3bc96470d991c30407bbd88daa30a57f80403523c119321e8f5	bb6b214f526ed6d6b5e19cdd10117240f7f741b0f0f0ceef875cccb5d5486e7e	12100.0	y[51]	22025	65213.2
mul24_mac_ufomac_koggestone_xormaj_classic	classic	ufomac_bounded	15db0cce28e7a3bc96470d991c30407bbd88daa30a57f80403523c119321e8f5	7eab3be7a1e885c89f46dff3e758edb0d2b47642ae9315fbb4b59473aeee844c	10840.0	y[56]	37819	150215.8
mul24_mac_ufomac_sklansky_mux_default	default	ufomac_bounded	d49e7c6f9ba043f89027c718fb544beb914c9c2d0b24fe85529949a41ada5667	fc960ee6fb688a24c93eac8f1c6f584bf7b2c158aaadaa9b447abc3f14165d43	20720.0	y[71]	20323	60290.6
mul24_mac_ufomac_sklansky_mux_classic	classic	ufomac_bounded	d49e7c6f9ba043f89027c718fb544beb914c9c2d0b24fe85529949a41ada5667	8330ab75837d3368e388e49ffe09dd0b0e56985d2bd53fe1bb21bf941860e376	12100.0	y[70]	31540	117284.6
mul24_mac_ufomac_sklansky_xormaj_default	default	ufomac_bounded	888d5eacaa1a40c485efce19cf9b2bf21481a22a9678412c0f6e747029b03037	b369a1a3a8349a160638d6f728cac61534038fe11bf69265945364b79f83ca89	19700.0	y[72]	20092	62846.6
mul24_mac_ufomac_sklansky_xormaj_classic	classic	ufomac_bounded	888d5eacaa1a40c485efce19cf9b2bf21481a22a9678412c0f6e747029b03037	24c758879b9bb943f4adaa73483b7c37729d42643c516d7277a67165de1aebfb	12660.0	y[57]	34030	128421.1
